id,mail_id,mobile_number,query_heading,query_description,query_created_time,status,query_closed_time
15533,ehines@example.com,6389766090,Account Suspension,Account banned during payment process.,2025-04-15 00:00:00,Closed,2025-04-17 00:00:00
15532,penny06@example.com,9907805950,Payment Failure,Need GST invoice after payment.,2025-03-10 00:00:00,Closed,2025-03-15 00:00:00
15531,jonesjeffrey@example.net,2741475397,Billing Problem,Late fee charged wrongly.,2025-04-09 00:00:00,Closed,2025-04-13 00:00:00
15530,paul11@example.net,7776569157,Login Issue,Unable to login with correct credentials.,2025-03-03 00:00:00,Closed,2025-03-04 00:00:00
15529,jmcintosh@example.org,4079514672,UI Feedback,Sidebar hides important links.,2025-07-22 00:00:00,Closed,2025-07-28 00:00:00
15528,garciajaime@example.net,8619044438,Account Suspension,My account was suspended without notice.,2025-03-06 00:00:00,Closed,2025-03-19 00:00:00
15527,thomasmegan@example.net,2493080051,Bug Report,Search bar resets randomly.,2025-06-08 00:00:00,Closed,2025-06-22 00:00:00
15526,scottrojas@example.com,7025967578,Subscription Cancellation,Accidentally cancelled wrong plan.,2025-02-20 00:00:00,Closed,2025-03-01 00:00:00
15525,pamelaroberts@example.com,6308671687,Billing Problem,Unable to update billing address.,2025-03-17 00:00:00,Closed,2025-03-20 00:00:00
15524,taylorbrian@example.com,3256121748,Billing Problem,Bank deducted amount but dashboard shows unpaid.,2025-05-26 00:00:00,Closed,2025-05-28 00:00:00
15523,daniel61@example.com,6585103865,UI Feedback,Mobile responsiveness needs improvement.,2025-04-16 00:00:00,Closed,2025-04-20 00:00:00
15522,anne62@example.net,2603180852,Account Suspension,Unjustified account suspension request.,2025-07-23 00:00:00,Closed,2025-07-27 00:00:00
15521,ivan23@example.com,1460649805,Billing Problem,Charged extra on my last invoice.,2025-03-13 00:00:00,Closed,2025-03-22 00:00:00
15520,danielsshawn@example.com,747326544,Data Export,Need export in regional time zone.,2025-02-10 00:00:00,Closed,2025-02-14 00:00:00
15519,martinchristina@example.com,1183133198,Payment Failure,Card declined despite funds.,2025-07-16 00:00:00,Closed,2025-07-18 00:00:00
15518,deniseramos@example.org,5228608630,Payment Failure,Need help with failed subscription payment.,2025-04-14 00:00:00,Closed,2025-04-16 00:00:00
15517,kelly55@example.net,2417637710,Account Suspension,How do I appeal a suspension?,2025-06-28 00:00:00,Closed,2025-06-29 00:00:00
15516,nicole17@example.com,8314436467,Technical Support,Graphs not rendering properly.,2025-05-24 00:00:00,Closed,2025-05-27 00:00:00
15515,wsavage@example.com,8495887685,Payment Failure,UPI transaction timed out.,2025-05-14 00:00:00,Closed,2025-05-15 00:00:00
15514,ccarr@example.com,3601861978,Login Issue,Seeing 'invalid session token' error.,2025-05-31 00:00:00,Closed,2025-06-01 00:00:00
15513,shannonjulian@example.org,2567888363,Subscription Cancellation,Cancel option not visible in settings.,2025-05-06 00:00:00,Closed,2025-05-15 00:00:00
15512,swolf@example.org,2518838700,Account Suspension,Need help lifting restrictions.,2025-05-21 00:00:00,Closed,2025-05-23 00:00:00
15511,kevin04@example.org,2938944974,Payment Failure,Payment success mail delayed.,2025-06-04 00:00:00,Closed,2025-06-11 00:00:00
15510,austin29@example.com,6153287605,Feature Request,Add folder structure to organize data.,2025-05-03 00:00:00,Closed,2025-05-05 00:00:00
15509,sara28@example.com,7430128935,Bug Report,Exported file missing columns.,2025-03-23 00:00:00,Closed,2025-04-01 00:00:00
15508,andrew52@example.com,9664189089,Data Export,Zip file corrupted during export.,2025-06-30 00:00:00,Closed,2025-07-11 00:00:00
15507,vvasquez@example.com,4833754626,Payment Failure,Card declined despite funds.,2025-05-01 00:00:00,Closed,2025-05-02 00:00:00
15506,nicole84@example.com,5669711726,Login Issue,Error 401 appearing on login.,2025-01-29 00:00:00,Closed,2025-02-06 00:00:00
15505,mroy@example.net,8742729925,Technical Support,Live chat not launching.,2025-07-06 00:00:00,Closed,2025-07-07 00:00:00
15504,ethankirby@example.com,2877397423,Bug Report,Form validation not working properly.,2025-04-03 00:00:00,Closed,2025-04-11 00:00:00
15503,elliscasey@example.com,9828448300,Bug Report,Sidebar collapses on scroll.,2025-02-20 00:00:00,Closed,2025-02-24 00:00:00
15502,timothystewart@example.net,2035601146,Bug Report,Back button doesn’t work.,2025-05-24 00:00:00,Closed,2025-05-28 00:00:00
15501,wwilliams@example.com,5001935980,Payment Failure,UPI transaction timed out.,2025-02-25 00:00:00,Closed,2025-03-09 00:00:00
15500,johnmathews@example.org,1442268732,Billing Problem,Invoice still shows old company name.,2025-02-27 00:00:00,Closed,2025-02-28 00:00:00
15499,tcaldwell@example.net,1026676657,Account Suspension,Appeal submitted but no response yet.,2025-05-31 00:00:00,Closed,2025-06-02 00:00:00
15498,aadkins@example.org,1908327292,Billing Problem,Promo code was not applied.,2025-03-14 00:00:00,Closed,2025-03-23 00:00:00
15497,daviskelli@example.net,2981406695,UI Feedback,Icons not intuitive.,2025-07-08 00:00:00,Closed,2025-07-10 00:00:00
15496,gonzaleztaylor@example.net,200848148,Login Issue,Forgot my password and reset isn’t working.,2025-06-01 00:00:00,Closed,2025-06-09 00:00:00
15495,tonyareed@example.com,1348742131,Payment Failure,Charged twice for one payment.,2025-02-17 00:00:00,Closed,2025-02-20 00:00:00
15494,lambertbradley@example.net,1572385831,Billing Problem,Invoice PDF is missing this month.,2025-03-16 00:00:00,Closed,2025-03-23 00:00:00
15493,jonathan94@example.net,1751728122,Subscription Cancellation,Auto-renew not turned off.,2025-07-09 00:00:00,Closed,2025-07-10 00:00:00
15492,jason61@example.net,6440984385,Technical Support,Settings not saving properly.,2025-02-13 00:00:00,Closed,2025-02-17 00:00:00
15491,riverakelly@example.net,3869603418,Login Issue,Captcha keeps looping during login.,2025-06-19 00:00:00,Closed,2025-06-20 00:00:00
15490,hcooper@example.net,8112243255,Bug Report,Form validation not working properly.,2025-07-25 00:00:00,Closed,2025-07-26 00:00:00
15489,carlsonalison@example.com,9230509723,Bug Report,Search bar resets randomly.,2025-02-28 00:00:00,Closed,2025-03-03 00:00:00
15488,laurajones@example.com,9073129489,Payment Failure,Need GST invoice after payment.,2025-04-13 00:00:00,Closed,2025-04-15 00:00:00
15487,patrick35@example.com,2038898060,Feature Request,Provide more chart types in dashboard.,2025-03-15 00:00:00,Closed,2025-03-17 00:00:00
15486,leachnicholas@example.net,6498662118,Technical Support,Settings not saving properly.,2025-05-01 00:00:00,Closed,2025-05-05 00:00:00
15485,joshuamorgan@example.com,7451440723,Subscription Cancellation,"Didn’t mean to cancel, can I undo?",2025-04-04 00:00:00,Closed,2025-04-13 00:00:00
15484,fitzpatrickmichelle@example.com,5628151452,Feature Request,Would like push notifications for updates.,2025-04-05 00:00:00,Closed,2025-04-19 00:00:00
15483,ahernandez@example.com,4667433370,Account Suspension,Support says I’m blacklisted — why?,2025-06-12 00:00:00,Closed,2025-06-15 00:00:00
15482,briangamble@example.org,1033612040,Billing Problem,Amount charged doesn’t match pricing plan.,2025-07-16 00:00:00,Closed,2025-07-22 00:00:00
15481,uwilkinson@example.org,7843354833,Bug Report,Exported file missing columns.,2025-06-29 00:00:00,Closed,2025-07-14 00:00:00
15480,stephanieanderson@example.org,791954121,Technical Support,Can’t sync data across devices.,2025-02-05 00:00:00,Closed,2025-02-13 00:00:00
15479,marklane@example.net,5562773275,Technical Support,Error 500 on accessing dashboard.,2025-07-15 00:00:00,Closed,2025-07-24 00:00:00
15478,yjones@example.net,5862631556,Technical Support,Settings not saving properly.,2025-02-20 00:00:00,Closed,2025-02-25 00:00:00
15477,anne19@example.com,7810824015,Login Issue,Getting 'user not found' even with valid ID.,2025-03-12 00:00:00,Closed,2025-03-13 00:00:00
15476,gerald16@example.org,2920302837,Subscription Cancellation,App locked after cancellation.,2025-03-04 00:00:00,Closed,2025-03-06 00:00:00
15475,edwardprice@example.net,1337680567,Payment Failure,Bank transaction shows pending.,2025-04-18 00:00:00,Closed,2025-04-29 00:00:00
15474,ecampbell@example.net,9505448124,Feature Request,Can we have auto-save for drafts?,2025-03-28 00:00:00,Closed,2025-04-03 00:00:00
15473,carla58@example.org,6335033023,Data Export,Filters not applying in exported data.,2025-03-10 00:00:00,Closed,2025-03-16 00:00:00
15472,jessicasexton@example.org,1477977366,Billing Problem,Unable to update billing address.,2025-04-08 00:00:00,Closed,2025-04-21 00:00:00
15471,tonyagonzalez@example.org,7547919180,Bug Report,Date selector not responsive.,2025-07-09 00:00:00,Closed,2025-07-23 00:00:00
15470,schroederalicia@example.org,2086004280,Billing Problem,Refund not credited after 7 days.,2025-06-26 00:00:00,Closed,2025-06-28 00:00:00
15469,dannyortega@example.org,5750422767,Login Issue,Login working on browser but not app.,2025-03-13 00:00:00,Closed,2025-03-25 00:00:00
15468,zlewis@example.org,212707001,Technical Support,App crashes after update.,2025-03-25 00:00:00,Closed,2025-03-30 00:00:00
15467,lucas17@example.org,7279582042,Account Suspension,Terms of use were unclear.,2025-07-14 00:00:00,Closed,2025-07-15 00:00:00
15466,barnettkurt@example.net,1776131641,Billing Problem,Promo code was not applied.,2025-02-08 00:00:00,Closed,2025-02-26 00:00:00
15465,fsalinas@example.net,9354079055,Payment Failure,Card declined despite funds.,2025-05-17 00:00:00,Closed,2025-05-24 00:00:00
15464,mendozadouglas@example.com,4521749690,Billing Problem,Need clarification on currency charges.,2025-06-29 00:00:00,Closed,2025-07-09 00:00:00
15463,duffyjoshua@example.org,6138190851,Subscription Cancellation,Received cancellation email but charged again.,2025-03-28 00:00:00,Closed,2025-04-03 00:00:00
15462,woodsjesse@example.com,17920285,Feature Request,Can you include language translation?,2025-05-27 00:00:00,Closed,2025-05-28 00:00:00
15461,bpatel@example.net,5525171074,Login Issue,Login button is unresponsive.,2025-07-17 00:00:00,Closed,2025-07-21 00:00:00
15460,lbrooks@example.com,6055484867,Subscription Cancellation,"Didn’t mean to cancel, can I undo?",2025-03-04 00:00:00,Closed,2025-03-07 00:00:00
15459,frank96@example.com,240924699,Feature Request,Add AI auto-suggestions for forms.,2025-05-19 00:00:00,Closed,2025-05-24 00:00:00
15458,vli@example.net,1965958666,Billing Problem,Amount charged doesn’t match pricing plan.,2025-05-29 00:00:00,Closed,2025-06-09 00:00:00
15457,gperez@example.org,6406042179,Payment Failure,Didn’t receive invoice after payment.,2025-06-25 00:00:00,Closed,2025-07-04 00:00:00
15456,brianolsen@example.net,4997868928,UI Feedback,Alignment issues in forms.,2025-02-04 00:00:00,Closed,2025-02-08 00:00:00
15455,zacharydiaz@example.net,8227556036,Login Issue,Login button is unresponsive.,2025-03-27 00:00:00,Closed,2025-04-08 00:00:00
15454,joshuapalmer@example.org,1069836920,Bug Report,Color scheme inconsistent.,2025-02-23 00:00:00,Closed,2025-02-25 00:00:00
15453,michaeljohnson@example.net,9476625071,Billing Problem,Invoice still shows old company name.,2025-04-24 00:00:00,Closed,2025-04-29 00:00:00
15452,kristenking@example.org,6635765954,Login Issue,Unable to login with correct credentials.,2025-04-06 00:00:00,Closed,2025-04-24 00:00:00
15451,newtontim@example.net,7929836523,Bug Report,Color scheme inconsistent.,2025-05-18 00:00:00,Closed,2025-05-20 00:00:00
15450,jessica58@example.com,3666367668,Data Export,Export button missing from UI.,2025-01-30 00:00:00,Closed,2025-01-31 00:00:00
15449,pnguyen@example.net,9038220474,Bug Report,Dropdown not loading values.,2025-06-12 00:00:00,Closed,2025-06-16 00:00:00
15448,williamzuniga@example.com,4675435154,UI Feedback,Filter section takes too much space.,2025-05-09 00:00:00,Closed,2025-05-14 00:00:00
15447,trevor02@example.net,4382947247,Data Export,Can’t schedule data export.,2025-07-10 00:00:00,Closed,2025-07-13 00:00:00
15446,erika95@example.net,2571448726,Account Suspension,"Got auto-ban, never violated terms.",2025-07-09 00:00:00,Closed,2025-07-12 00:00:00
15445,heathbailey@example.com,4442095009,Payment Failure,Card declined despite funds.,2025-07-21 00:00:00,Closed,2025-07-25 00:00:00
15444,dlevine@example.org,7347403077,Login Issue,Session expires immediately after login.,2025-02-02 00:00:00,Closed,2025-02-08 00:00:00
15443,kennethcampbell@example.org,8158905196,Feature Request,Please add support for dark mode.,2025-03-24 00:00:00,Closed,2025-03-31 00:00:00
15442,jwheeler@example.com,6822983268,Data Export,Charts not included in report export.,2025-06-14 00:00:00,Closed,2025-06-23 00:00:00
15441,austin91@example.net,1649494278,Login Issue,Captcha keeps looping during login.,2025-04-30 00:00:00,Closed,2025-05-01 00:00:00
15440,andrew63@example.net,366419998,UI Feedback,Table headers not sticky.,2025-02-13 00:00:00,Closed,2025-02-15 00:00:00
15439,racheldalton@example.com,9448570392,UI Feedback,Error messages not clear enough.,2025-03-16 00:00:00,Closed,2025-03-18 00:00:00
15438,wjacobs@example.net,1638140138,Bug Report,Dropdown not loading values.,2025-04-10 00:00:00,Closed,2025-04-22 00:00:00
15437,kevin48@example.org,7099534091,Login Issue,Forgot my password and reset isn’t working.,2025-01-30 00:00:00,Closed,2025-02-06 00:00:00
15436,wileyjean@example.net,9711666307,Technical Support,Settings not saving properly.,2025-05-14 00:00:00,Closed,2025-05-23 00:00:00
15435,lbruce@example.net,1239372880,Account Suspension,Need reason for my suspension.,2025-04-07 00:00:00,Closed,2025-04-13 00:00:00
15434,diazjulie@example.net,2029040588,Feature Request,Save filter views for reuse.,2025-04-23 00:00:00,Opened,0001-01-01 00:00:00
15433,lauraandrews@example.com,2773973052,Payment Failure,Promo code not working during payment.,2025-04-02 00:00:00,Opened,0001-01-01 00:00:00
15432,mmorrison@example.org,7071477078,Billing Problem,Billed for a cancelled plan.,2025-03-18 00:00:00,Closed,2025-03-21 00:00:00
15431,hannah40@example.net,8096666422,UI Feedback,Tooltips not displaying on hover.,2025-05-27 00:00:00,Closed,2025-05-30 00:00:00
15430,michelleespinoza@example.org,7638594803,Bug Report,Unable to delete old entries.,2025-06-25 00:00:00,Closed,2025-06-27 00:00:00
15429,robert81@example.net,8322187673,UI Feedback,Dark mode missing in login.,2025-04-23 00:00:00,Closed,2025-05-01 00:00:00
15428,amber64@example.net,3068762722,Data Export,Charts not included in report export.,2025-06-12 00:00:00,Closed,2025-06-25 00:00:00
15427,shafferjohn@example.org,6251168147,Technical Support,Settings not saving properly.,2025-06-23 00:00:00,Closed,2025-06-25 00:00:00
15426,jessica72@example.com,5148929157,Login Issue,Login button is unresponsive.,2025-03-17 00:00:00,Closed,2025-03-24 00:00:00
15425,tammybriggs@example.com,1145244881,Account Suspension,"Got auto-ban, never violated terms.",2025-05-24 00:00:00,Closed,2025-05-26 00:00:00
15424,kristen92@example.org,4223711679,Technical Support,White screen on startup.,2025-03-12 00:00:00,Closed,2025-03-13 00:00:00
15423,tmathews@example.com,9337548980,Data Export,Data export not matching preview.,2025-03-12 00:00:00,Closed,2025-03-31 00:00:00
15422,kingmichelle@example.org,2947219021,Payment Failure,Payment success mail delayed.,2025-06-20 00:00:00,Closed,2025-07-02 00:00:00
15421,timothybryan@example.net,5909118672,Billing Problem,Amount charged doesn’t match pricing plan.,2025-05-04 00:00:00,Closed,2025-05-06 00:00:00
15420,stewartjoshua@example.com,7347743742,Feature Request,Provide more chart types in dashboard.,2025-04-01 00:00:00,Closed,2025-04-06 00:00:00
15419,brian82@example.org,1945134496,Billing Problem,Invoice PDF is missing this month.,2025-03-27 00:00:00,Closed,2025-04-08 00:00:00
15418,frazierjohn@example.net,8796724147,UI Feedback,Color scheme hard to read in sunlight.,2025-02-15 00:00:00,Closed,2025-02-17 00:00:00
